Sl.No,STN Code,Sampling Month,Name Of Monitoring Location,Use Based Class,"Temperature
59,4504,Feb,Sarakki Lake,"D (Propagation of wild life,fisheries)",29.0,5.4,7.9,817,4,3.14,0.02(BDL),260,2800,-,3(BDL),164,24,5(BDL),164,100,39,1.5(BDL),0.8,168,98,39,70,17.0,5(BDL),87,554,32,0.2(BDL),0.5(BDL),26,0.2(BDL),48,2.91,0.05(BDL),2025
60,4505,Feb,Nelamangala Lake,"E (Irrigation, industrial cooling and controlled waste)",30.0,2.4,6.7,1538,28,5.4,0.02(BDL),240,2200,-,3(BDL),392,1.5,5(BDL),392,236,184,8.9,6.6,432,224,90,208,50.5,16,99,1012,10(BDL),0.74,0.5(BDL),21,0.2(BDL),32,2.0,2,2025
61,4506,Feb,Abbigere Lake,"E (Irrigation, industrial cooling and controlled waste)",26.0,1.8,6.7,580,13,1.4,0.02(BDL),4800,28000,-,3(BDL),160,10.2,5(BDL),160,88,125,1.8,1.4,168,112,45,56,13.6,20,80,394,16,0.2(BDL),0.5(BDL),10,0.25,49,2.7,0.18,2025
62,4507,Feb,Chelekere Lake,"D (Propagation of wild life,fisheries)",30.0,5.5,7.3,999,6,3.83,0.17,260,2800,-,3(BDL),164,11.1,5(BDL),164,164,53,1.5(BDL),0.7,212,112,45,100,24.3,34,98,670,16,0.2(BDL),0.5(BDL),33,0.2(BDL),45,2.91,0.28,2025
63,4508,Feb,Singapura Lake,"E (Irrigation, industrial cooling and controlled waste)",32.0,3.1,7.3,1015,11,3.9,0.02(BDL),2100,11000,-,3(BDL),168,11.2,5(BDL),168,152,109,2.04,1.7,208,122,49,86,20.9,35,98,682,16,0.2(BDL),0.5(BDL),33,0.2(BDL),46,2.95,0.46,2025
64,4509,Feb,-rasipura Lake,"E (Irrigation, industrial cooling and controlled waste)",34.0,3.2,7.3,914,11,3.51,0.52,110,2400,-,3(BDL),244,59.2,5(BDL),244,124,118,2.94,2.1,256,134,54,122,29.6,15,84,630,78,0.47,0.5(BDL),25,0.25,39,2.29,1.19,2025
65,4510,Feb,Rache-halli Lake,"E (Irrigation, industrial cooling and controlled waste)",30.0,1.2,7.6,1261,22,4.84,0.61,1700,13000,-,3(BDL),348,100.8,5(BDL),348,188,208,10.08,6.3,324,172,69,152,36.9,19,110,838,132,1.23,0.5(BDL),34,0.29,39,2.66,2.9,2025
66,4511,Feb,Kogilu Kere,"D (Propagation of wild life,fisheries)",34.0,4.9,7.2,1018,8,3.91,0.17,1300,7900,-,3(BDL),160,11.6,5(BDL),160,148,74,1.5(BDL),0.5,248,134,54,114,27.7,36,97,684,16,0.2(BDL),0.5(BDL),33,0.21,42,2.69,0.36,2025
67,4512,Feb,Viswaneedam Lake,"E (Irrigation, industrial cooling and controlled waste)",25.0,0.3(BDL),6.9,1289,58,5.0,0.02(BDL),3100,17000,-,3(BDL),504,31.5,5(BDL),504,132,214,49.4,38.0,316,160,64,156,37.9,26,109,890,38,3.6,0.5(BDL),25,0.2(BDL),40,2.7,8.6,2025
68,4513,Feb,Ramamma- Kere,"E (Irrigation, industrial cooling and controlled waste)",26.0,1.7,6.6,540,16,2.0,0.02(BDL),2600,9400,-,3(BDL),136,12,5(BDL),136,104,149,1.5(BDL),0.7,152,84,34,68,16.5,26,52,366,18,0.2(BDL),0.5(BDL),8,0.23,41,1.8,0.18,2025
69,4514,Feb,Sadaramangala Lake,"D (Propagation of wild life,fisheries)",25.0,5.9,8.3,636,5,2.56,0.02(BDL),26,1600,-,16,100,1.8,8,108,92,56,1.5(BDL),0.4,156,84,34,72,17.5,28,56,428,10(BDL),0.2(BDL),0.5(BDL),11,0.2(BDL),41,1.95,0.05(BDL),2025
70,4515,Feb,Bhattarahalli Lake,"D (Propagation of wild life,fisheries)",27.0,6.8,8.0,965,5,3.7,0.02(BDL),17,1600,-,3(BDL),156,8.5,5(BDL),156,176,50,1.5(BDL),0.78,104,56,22,48,11.7,21,108,656,10(BDL),0.2(BDL),0.5(BDL),17,0.37,65,4.6,0.3,2025
71,4516,Feb,Kundalahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",25.0,3.1,8.5,1419,15,5.45,0.2,680,3900,-,48,240,45.6,24,264,312,152,3.64,2.8,352,184,74,168,40.8,27,113,964,56,0.87,0.5(BDL),18,0.2(BDL),39,2.3,2.5,2025
72,4517,Feb,Kowdhe-halli Tank,"D (Propagation of wild life,fisheries)",26.0,6.4,8.5,762,7,2.9,0.02(BDL),1700,7000,-,48,220,115,24,244,92,83,1.5(BDL),0.61,196,104,42,92,22.4,8,70,522,78,0.7,0.5(BDL),16,0.2(BDL),41,2.1,1.8,2025
73,4518,Feb,Garudacharpalya Tank,"D (Propagation of wild life,fisheries)",26.0,4.4,8.4,651,7,2.22,0.02(BDL),1100,4600,-,16,164,79,8,172,52,76,1.5(BDL),0.42,140,76,30,64,15.6,7,38,438,98,0.24,0.5(BDL),10,0.2(BDL),35,1.39,0.67,2025
74,4519,Feb,Rampura Lake,"D (Propagation of wild life,fisheries)",26.0,4.2,7.0,826,20,3.2,0.02(BDL),22,70,-,3(BDL),248,1.9,5(BDL),248,108,165,4.4,3.4,216,108,43,108,26.2,-,83,570,10(BDL),0.2(BDL),0.5(BDL),5,0.28,45,2.4,0.21,2025
75,4520,Feb,Chin-ppa-halli Lake,"D (Propagation of wild life,fisheries)",27.0,6.5,8.3,877,4,3.4,0.02(BDL),930,13000,-,16,128,24.7,8,136,116,59,1.5(BDL),0.4,124,68,27,56,13.6,17,83,604,32,0.2(BDL),0.5(BDL),13,0.29,56,3.2,0.2,2025
76,4521,Feb,Devarabeesa-halli Lake,"E (Irrigation, industrial cooling and controlled waste)",29.0,3.2,8.0,1575,4,5.5,0.71,140,2100,-,3(BDL),232,11.4,5(BDL),232,340,168,1.7,1.2,304,160,64,144,35.0,57,180,1028,14,1.5,0.5(BDL),24,0.21,54,5.0,4.5,2025
77,4522,Feb,Vibhuthipura Lake,"D (Propagation of wild life,fisheries)",26.0,5.2,7.5,750,7,2.6,0.02(BDL),32,220,-,3(BDL),188,27.4,5(BDL),188,76,88,1.5(BDL),0.4,140,76,30,64,15.6,8,83,488,32,0.98,0.5(BDL),9,0.2(BDL),54,3.0,2.7,2025
78,4523,Feb,-llurahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",26.0,2.4,8.4,1220,18,4.7,0.02(BDL),1400,17000,-,24,152,34.2,12,164,204,155,2.6,2.01,192,104,42,88,21.4,29,104,828,52,0.3,0.5(BDL),23,0.2(BDL),50,3.2,0.8,2025
79,4524,Feb,Pattandur Agrahara Lake,"E (Irrigation, industrial cooling and controlled waste)",26.0,1.1,8.2,1214,39,4.49,0.02(BDL),3100,8400,-,3(BDL),204,119,5(BDL),204,236,288,1.88,1.5,248,128,51,120,29.2,32,107,818,148,0.76,0.5(BDL),19,0.22,46,2.96,2,2025
80,4525,Feb,Seetharampalya Lake,"E (Irrigation, industrial cooling and controlled waste)",25.0,1.5,8.3,1384,26,5.18,0.61,3100,11000,-,40,284,30.4,20,304,248,184,1.5(BDL),1.0,352,180,72,172,41.8,48,111,934,38,1.24,0.5(BDL),27,0.2(BDL),38,2.57,3.47,2025
81,4526,Feb,Devasandra Lake,"D (Propagation of wild life,fisheries)",26.0,6.9,8.3,566,4,2.1,0.02(BDL),23,920,-,16,124,3.8,8,132,72,38,1.5(BDL),0.6,92,52,21,40,9.7,20,59,386,10(BDL),0.2(BDL),0.5(BDL),13,0.21,54,2.8,0.3,2025
82,4527,Feb,Sheelavanta-Whitefield Lake,"E (Irrigation, industrial cooling and controlled waste)",25.0,0.3(BDL),8.3,923,90,3.1,0.02(BDL),2100,9400,-,3(BDL),184,282,5(BDL),184,240,301,8.9,6.9,224,120,48,104,25.3,23,110,628,296,1,0.5(BDL),20,0.25,49,3.2,2.8,2025
83,4528,Feb,Doddakannehalli Lake,"E (Irrigation, industrial cooling and controlled waste)",29.0,3.4,8.0,1567,16,5.5,0.72,3100,11000,-,3(BDL),244,7.4,5(BDL),244,332,116,1.5(BDL),1.0,304,160,64,144,35.0,59,174,1020,10(BDL),0.73,0.5(BDL),24,0.24,53,4.0,2,2025
84,4529,Feb,Kasava-halli Lake,"D (Propagation of wild life,fisheries)",28.0,5.4,7.6,853,6,3.0,0.02(BDL),230,2800,-,3(BDL),120,14.2,5(BDL),120,132,64,1.5(BDL),0.44,136,76,30,60,14.6,35,91,568,20,0.2(BDL),0.5(BDL),19,0.3,55,3.0,0.05(BDL),2025
85,4530,Feb,Kammasandra Lake,"D (Propagation of wild life,fisheries)",24.0,6.8,7.3,717,4,2.7,0.02(BDL),21,1600,-,3(BDL),156,7.1,5(BDL),156,88,40,2.7,2.0,172,88,35,84,20.4,7.8,82,494,12,0.2(BDL),0.5(BDL),9,0.21,49,2.7,0.05(BDL),2025
86,4531,Feb,Rayasandra Lake,"E (Irrigation, industrial cooling and controlled waste)",24.0,1.9,7.3,2210,35,8.5,0.02(BDL),1200,7900,-,3(BDL),548,17.8,5(BDL),548,416,241,50.7,39.0,492,248,99,244,59.3,44,231,1524,28,1,0.5(BDL),34,0.2(BDL),48,4.5,2.4,2025
87,4532,Feb,Chandapura Lake,"E (Irrigation, industrial cooling and controlled waste)",24.0,0.3(BDL),7.7,1368,25,5.25,0.02(BDL),1100,4900,-,3(BDL),124,15.8,5(BDL),124,108,274,91.5,61.0,640,142,57,498,121.0,47,171,936,22,0.61,0.5(BDL),42,0.53,32,2.94,1.55,2025
88,4533,Feb,Ullalu Lake,"E (Irrigation, industrial cooling and controlled waste)",24.3,2.8,7.2,1414,16,5.4,0.02(BDL),1200,17000,-,3(BDL),452,28.2,5(BDL),452,112,118,6.9,6.2,276,144,58,132,32.1,26,125,960,36,2.8,0.5(BDL),20,0.21,47,3.2,6.7,2025
89,4534,Feb,Sompura Lake,"D (Propagation of wild life,fisheries)",28.7,5.7,7.5,906,5,3.48,0.02(BDL),210,3500,-,3(BDL),248,12.7,5(BDL),248,52,57,1.5(BDL),0.8,176,110,44,66,16.0,28,93,604,18,0.2(BDL),0.5(BDL),9,0.36,52,3.07,0.05(BDL),2025
90,4535,Feb,Gubbalal Lake,"E (Irrigation, industrial cooling and controlled waste)",30.7,0.3(BDL),6.6,465,79,1.8,0.02(BDL),9200000,46000000,-,3(BDL),92,88.4,5(BDL),92,32,531,2.08,1.6,88,52,21,36,8.7,31,30,320,110,0.2(BDL),0.5(BDL),12,0.2(BDL),38,1.3,0.5,2025
91,4536,Feb,Hosakerehalli Lake,"D (Propagation of wild life,fisheries)",24.5,4.1,6.5,797,10,3.06,0.02(BDL),17000,46000,-,3(BDL),284,48,5(BDL),284,44,72,3.36,0.9,232,126,50,106,25.8,5(BDL),45,548,64,0.2(BDL),0.5(BDL),5,2.36,29,1.3,0.05(BDL),2025
92,4537,Feb,Chin-kurchi Kere,"D (Propagation of wild life,fisheries)",31.2,6.3,7.7,473,4,1.8,0.02(BDL),1100,7900,-,3(BDL),140,98.8,5(BDL),140,16,40,1.5(BDL),0.4,108,60,24,48,11.7,25,33,322,126,0.2(BDL),0.5(BDL),5,0.2(BDL),38,1.4,0.3,2025
93,4538,Feb,Machohalli Lake,"E (Irrigation, industrial cooling and controlled waste)",28.0,0.3(BDL),6.6,1992,174,7.6,0.02(BDL),370,2600,-,3(BDL),432,24.2,5(BDL),432,492,604,62,48.0,544,276,110,268,65.1,27,212,1354,30,0.51,0.5(BDL),30,0.27,44,4.0,1.2,2025
94,4539,Feb,Doddabidarakallu Lake,"E (Irrigation, industrial cooling and controlled waste)",26.0,0.3(BDL),6.9,1519,105,5.8,0.02(BDL),14000,84000,-,3(BDL),436,24.4,5(BDL),436,244,356,35,27.0,340,172,69,168,40.8,44,170,1048,30,2.2,0.5(BDL),22,0.2(BDL),50,4.0,5,2025
95,4540,Feb,Kammagonda-halli Lake,"E (Irrigation, industrial cooling and controlled waste)",25.0,2.1,6.5,412,12,1.4,0.02(BDL),2600,15000,-,3(BDL),112,12,5(BDL),112,100,121,2.3,1.8,116,64,26,52,12.6,11,52,280,20,0.2(BDL),0.5(BDL),6,0.22,48,2.1,0.27,2025
96,4541,Feb,Alur Lake,"D (Propagation of wild life,fisheries)",25.0,7.6,6.9,272,4,2.0,0.02(BDL),140,3500,-,3(BDL),60,5.6,5(BDL),60,72,45,1.5(BDL),0.6,64,44,18,20,4.9,14,30,186,12,0.2(BDL),0.5(BDL),5,0.21,48,1.6,0.39,2025
97,4542,Feb,Basava-pura Lake,"D (Propagation of wild life,fisheries)",28.0,7.0,8.3,851,4,14.47,0.02(BDL),210,1700,-,40,196,7.7,20,216,108,58,1.5(BDL),0.4,208,112,45,96,23.3,7,86,578,10(BDL),0.69,0.5(BDL),24,0.2(BDL),44,2.5,1.7,2025
98,4543,Feb,Kodi Singasandra Lake,"D (Propagation of wild life,fisheries)",27.0,5.6,7.7,945,5,3.63,5.36,210,3500,-,3(BDL),248,42,5(BDL),248,116,56,1.5(BDL),0.4,192,110,44,82,19.9,10,99,650,56,0.32,0.5(BDL),27,0.2(BDL),49,3.1,0.75,2025
99,4544,Feb,Kothanuru Lake,"D (Propagation of wild life,fisheries)",28.0,4.4,7.2,825,6,3.17,0.35,220,1500,-,3(BDL),180,31.5,5(BDL),180,100,72,1.5(BDL),0.4,136,86,34,50,12.2,10,89,564,42,0.2(BDL),0.5(BDL),16,0.2(BDL),55,3.3,0.26,2025
100,4547,Feb,Mangama-palya Lake(Swara- Kunte),"D (Propagation of wild life,fisheries)",27.0,4.2,7.0,853,4,3.27,0.35,220,2800,-,3(BDL),220,13.6,5(BDL),220,112,53,1.5(BDL),0.4,160,94,38,66,16.0,8,90,568,18,0.22,0.5(BDL),15,0.2(BDL),52,3.08,0.52,2025
101,5558,Feb,"Kan-halli Lake Kan-halli, Bengaluru","D (Propagation of wild life,fisheries)",26.0,6.0,7.1,1479,8,5.7,0.02(BDL),170,1200,-,3(BDL),444,1(BDL),5(BDL),444,256,84,3.77,2.9,488,248,99,240,58.3,13,118,1020,10(BDL),1.2,0.5(BDL),24,0.2(BDL),33,2.3,3,2025
102,5559,Feb,"Shettihalli Lake, Mallasandra Gudde Lake Bengaluru","E (Irrigation, industrial cooling and controlled waste)",26.0,1.7,7.3,900,23,6.9,0.02(BDL),94,540,-,3(BDL),304,13.2,5(BDL),304,140,153,29.9,23.0,288,148,59,140,34.0,17,140,612,18,0.2(BDL),0.5(BDL),15,0.28,50,3.6,0.4,2025
103,5560,Feb,"Hoodi (Rajapalya Lake) Itpl Main Road, Near Hoodi,Bengaluru","D (Propagation of wild life,fisheries)",25.0,6.0,8.3,810,4,2.86,0.02(BDL),21,540,-,24,36,1.2,12,48,112,48,1.5(BDL),0.4,160,88,35,72,17.5,59,66,546,10(BDL),0.2(BDL),0.5(BDL),2,0.29,46,2.26,0.05(BDL),2025
104,5561,Feb,"Munekolalu Lake ,Marathahalli, East Taluka ,Bengaluru","E (Irrigation, industrial cooling and controlled waste)",27.0,3.1,8.0,712,16,2.7,0.02(BDL),1700,7900,-,3(BDL),148,140,5(BDL),148,80,122,2,1.52,148,80,32,68,16.5,12,56,484,158,0.5,0.5(BDL),11,0.2(BDL),42,2.0,1.1,2025
105,5562,Feb,"Mahadevpuraâ  Lake, K. R. Puram , Bangalore East Taluka","D (Propagation of wild life,fisheries)",26.0,6.4,8.5,607,8,2.3,0.02(BDL),230,3500,-,48,56,52.6,14,80,84,96,1.5(BDL),0.47,56,32,13,24,5.8,11,60,412,64,0.2(BDL),0.5(BDL),15,0.2(BDL),63,3.5,0.2,2025
106,5563,Feb,"Segehalli Lake Baava-pura Road Battarahalli , Bangalore East","D (Propagation of wild life,fisheries)",26.0,5.7,7.2,1624,12,6.2,0.02(BDL),310,3500,-,3(BDL),536,13.5,5(BDL),536,196,143,6.63,5.1,316,164,66,152,36.9,30,140,1104,16,3.2,0.5(BDL),29,0.31,46,3.5,7.7,2025
107,5564,Feb,"Kan-mangala Lake Hoskote Main Road , Bengalore","D (Propagation of wild life,fisheries)",25.0,6.4,6.6,1762,7,6.7,0.02(BDL),250,4300,-,3(BDL),340,6.8,5(BDL),340,456,88,1.82,1.4,248,128,51,120,29.2,30,188,1196,10(BDL),0.2(BDL),0.5(BDL),9,0.33,49,5.4,0.62,2025
108,5565,Feb,Kannur Lake Near By Hennur Road Bengalore,"E (Irrigation, industrial cooling and controlled waste)",26.0,2.9,8.5,1892,22,7.26,0.02(BDL),680,17000,-,40,304,123.2,20,324,416,178,10.8,8.32,196,104,42,92,22.4,12,265,1306,132,0.2(BDL),0.5(BDL),59,0.33,59,8.0,0.17,2025
109,5566,Feb,"Basava-pura Lake Ayyappa -gr Main Road , K. R. Puram , Bengaluru","D (Propagation of wild life,fisheries)",27.0,6.9,8.3,562,4,2.1,0.02(BDL),130,2400,-,16,120,4,8,128,64,39,1.5(BDL),0.79,64,36,14,28,6.8,18,56,382,10(BDL),0.2(BDL),0.5(BDL),14,0.22,60,3.0,0.05(BDL),2025
110,5567,Feb,"Doddakallasandra Lake,Bengaluru","D (Propagation of wild life,fisheries)",27.0,5.8,7.7,862,10,3.3,0.02(BDL),480,3500,-,3(BDL),200,7.6,5(BDL),200,112,114,2.73,2.1,168,84,34,84,20.4,6.6,83,594,10(BDL),0.41,0.5(BDL),21,0.2(BDL),48,2.8,1,2025
111,5568,Feb,"Ulsoor Lake Near Kalyani,Bengaluru","D (Propagation of wild life,fisheries)",28.0,5.8,8.3,441,12,7.49,0.02(BDL),680,4300,-,8,72,67.2,5(BDL),76,48,130,1.5(BDL),0.4,72,44,18,28,6.8,11,46,300,84,0.2(BDL),0.5(BDL),13,0.2(BDL),52,2.4,0.1,2025
112,5569,Feb,"Byrasandra Upper Lake,Bengaluru","D (Propagation of wild life,fisheries)",29.0,6.0,6.9,1117,9,4.3,0.02(BDL),1200,7000,-,3(BDL),216,8.9,5(BDL),216,68,81,1.5(BDL),0.4,380,196,78,184,44.7,192,71,760,10(BDL),0.2(BDL),0.5(BDL),20,0.2(BDL),27,1.5,0.4,2025
113,5570,Feb,"Soulkere, Kaikondrahalli Vill,Bengaluru","D (Propagation of wild life,fisheries)",28.0,4.4,8.0,1439,8,5.0,0.72,210,4300,-,3(BDL),224,9.5,5(BDL),224,340,88,1.5(BDL),0.86,308,160,64,148,36.0,57,198,960,12,0.53,0.5(BDL),25,0.29,56,5.0,1.4,2025
114,5571,Feb,"Kudlu Doddakere, Kudlu Vill,Bengaluru","D (Propagation of wild life,fisheries)",28.0,5.8,7.5,850,5,3.0,0.02(BDL),2000,9400,-,3(BDL),116,15.6,5(BDL),116,132,64,1.5(BDL),0.4,136,76,30,60,14.6,36,89,568,20,0.2(BDL),0.5(BDL),19,0.3,55,3.0,0.05(BDL),2025
115,5572,Feb,"Kudlu Chikkakere, Bgp Layout Kudlu Vill ,Bengaluru","D (Propagation of wild life,fisheries)",28.0,5.2,7.5,848,7,3.0,0.02(BDL),310,3500,-,3(BDL),124,12.5,5(BDL),124,128,68,1.5(BDL),0.4,132,72,29,60,14.6,34,87,564,16,0.2(BDL),0.5(BDL),19,0.25,54,3.0,0.44,2025
116,5573,Feb,"Doddathogur Lake , Doddathoguru Vill,Bengaluru","D (Propagation of wild life,fisheries)",25.0,5.4,6.8,1171,6,4.5,0.02(BDL),170,3500,-,3(BDL),288,70,5(BDL),288,196,68,1.5(BDL),0.4,256,132,53,124,30.1,12,120,798,90,2.2,0.5(BDL),7,0.21,49,3.2,5,2025
117,5574,Feb,"Anja-pura Lake ( Avala Halli Lake) Anja-pura,Bengaluru","D (Propagation of wild life,fisheries)",28.0,6.0,7.5,651,5,2.5,0.02(BDL),140,1100,-,3(BDL),120,250,5(BDL),120,84,71,1.5(BDL),0.4,100,68,27,32,7.8,11,81,440,326,0.2(BDL),0.5(BDL),15,0.2(BDL),60,3.52,0.05(BDL),2025
