Sl.No,STN Code,Name Of Monitoring Location,Use Based Class,Temperature,Dissolved O2 (mg/L),pH,Conductivity (&micro;mho/cm),"BOD
57,3614,PUTTENAHALLI LAKE,"D (Propagation of wild life,fisheries)",25.0,5.7,7.0,346,5.0,1.0,3100,35000,,3(BDL),88,3.2,5(BDL),88.0,88.0,52,0.4,104,60,44,18,71,302,0.28,0.5(BDL),20,0.27,54.0,3.0,0.78,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.13,0.027,2023
58,4521,DEVARABEESANAHALLI LAKE,"D (Propagation of wild life,fisheries)",24.0,4.4,7.9,679,6.0,3.0,7000,92000,,3(BDL),136,16.3,5(BDL),136.0,100.0,56,0.4,124,68,56,19,82,468,0.2(BDL),0.5(BDL),34,0.31,51.0,3.0,0.07,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.159,0.021,2023
59,5570,"Soulkere, Kaikondrahalli Vill,Bengaluru","D (Propagation of wild life,fisheries)",24.0,6,7.8,641,5.0,3.0,1300,24000,,3(BDL),144,14.8,5(BDL),144.0,92.0,48,0.4,112,60,52,18,81,442,0.2(BDL),0.5(BDL),25,0.39,55.0,3.0,0.11,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.00067(BDL),0.014,2023
60,5567,"Doddakallasandra Lake,Bengaluru","D (Propagation of wild life,fisheries)",24.0,6,7.4,572,4.0,2.0,460,5400,,3(BDL),112,5.6,5(BDL),112.0,68.0,40,0.4,84,48,36,18,51,388,0.2(BDL),0.5(BDL),18,0.26,51.0,2.0,0.05(BDL),0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.00067(BDL),,2023
61,5572,"Kudlu Chikkakere, Bgp Layout Kudlu Vill ,Bengaluru","E (Irrigation, industrial cooling and controlled waste)",23.0,1.9,8.1,723,13.0,3.0,7000,35000,,3(BDL),200,48.5,5(BDL),200.0,104.0,128,2.2,152,80,72,11,64,498,0.2(BDL),0.5(BDL),31,0.28,25.0,2.0,0.4,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.084,0.024,2023
62,5571,"Kudlu Doddakere, Kudlu Vill,Bengaluru","E (Irrigation, industrial cooling and controlled waste)",24.0,3.5,8.1,724,13.0,3.0,480,9200,,3(BDL),196,47.2,5(BDL),196.0,92.0,124,3.6,176,92,84,12,72,492,0.26,0.5(BDL),20,0.29,44.0,2.0,0.47,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.097,0.035,2023
63,5574,"Anjanapura Lake ( Avala Halli Lake) Anjanapura,Bengaluru","D (Propagation of wild life,fisheries)",23.0,4.5,6.9,530,6.0,2.0,330,5400,,3(BDL),100,4.9,5(BDL),100.0,96.0,60,0.4,96,52,44,7,50,360,0.76,0.5(BDL),3,0.27,52.0,2.0,1.9,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.075,0.014,2023
64,3602,BELLANDUR LAKE,"E (Irrigation, industrial cooling and controlled waste)",21.0,1.9,7.1,997,51.0,4.0,340000,2400000,,3(BDL),344,20.5,5(BDL),344.0,92.0,212,14.6,320,164,156,31,66,686,0.6,0.5(BDL),26,0.3,29.0,2.0,1.27,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.004,0.00059(BDL),1.05,0.147,2023
65,3600,SHIVAPURA TANK,"E (Irrigation, industrial cooling and controlled waste)",25.0,1.8,7.3,2320,27.0,8.89,8400,92000,,3(BDL),540,10.9,5(BDL),540.0,392.0,170,3.9,620,316,304,94,166,1630,0.8,0.5(BDL),46,0.49,35.0,540.0,1.78,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.072,0.133,0.052,2.181,0.979,2023
66,3601,KARIHOBANAHALLI LAKE,"E (Irrigation, industrial cooling and controlled waste)",24.5,2.1,7.1,1438,17.0,5.47,3300,54000,,3(BDL),332,9.4,5(BDL),332.0,240.0,153,3.2,388,200,188,58,114,1010,0.48,0.5(BDL),29,0.32,37.0,2.5,1.12,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.019,0.025,0.00059(BDL),0.642,1.456,2023
67,3607,KALKERE TANK,"E (Irrigation, industrial cooling and controlled waste)",25.5,2.8,6.7,866,15.0,3.32,4600,35000,,3(BDL),200,7.6,5(BDL),200.0,144.0,139,2.6,232,120,112,35,79,604,0.42,0.5(BDL),17,0.2(BDL),40.0,2.2,0.96,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.003,0.00059(BDL),0.44,0.055,2023
68,4519,RAMPURA LAKE,"E (Irrigation, industrial cooling and controlled waste)",24.0,0.3(BDL),7.3,1457,77.0,5.59,170000,2400000,,3(BDL),336,16.6,5(BDL),336.0,244.0,320,18.1,400,204,196,59,117,1022,1.4,0.5(BDL),29,0.24,37.0,2.5,3.6,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.009,0.007,0.00059(BDL),2.359,0.591,2023
69,3604,DODDANEKKUNDI LAKE,"D (Propagation of wild life,fisheries)",25.2,4.2,6.7,381,4.0,1.46,700,9200,,3(BDL),84,4.0,5(BDL),84.0,60.0,45,0.54,100,56,44,16,33,266,0.2(BDL),0.5(BDL),8,0.2(BDL),39.0,1.43,0.05(BDL),0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.164,0.057,2023
70,4097,KACHOHALLI LAKE,"D (Propagation of wild life,fisheries)",25.0,4.8,6.8,508,8.0,1.5,480,16000,,3(BDL),136,6.8,5(BDL),136.0,72.0,78,0.9,196,104,92,16,56,348,0.7,0.5(BDL),24,0.2(BDL),35.0,1.4,1.9,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.005,0.005,0.00059(BDL),1.432,0.249,2023
71,4538,MACHOHALLI LAKE,"D (Propagation of wild life,fisheries)",24.0,5,6.6,505,7.2,1.7,7900,54000,,3(BDL),152,6.4,5(BDL),152.0,80.0,68,0.98,136,72,64,16,54,346,0.53,0.5(BDL),26,0.2(BDL),40.0,2.0,0.83,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.012,0.007,0.00059(BDL),1.958,0.237,2023
72,4094,GANGONDANAHALLI LAKE,"E (Irrigation, industrial cooling and controlled waste)",25.0,0.3(BDL),6.8,1493,72.0,6.0,7000,35000,,3(BDL),444,38.8,5(BDL),444.0,292.0,240,16.4,400,204,196,24,167,1018,1,0.5(BDL),29,0.44,45.0,3.6,2.6,0.00042(BDL),0.075,0.031,0.142,0.045,0.185,26.255,0.752,2023
73,3599,ANCHEPALYA LAKE,"E (Irrigation, industrial cooling and controlled waste)",25.0,0.3(BDL),7.0,1289,62.0,5.0,460,9200,,3(BDL),388,16.8,5(BDL),388.0,196.0,208,7.2,436,224,212,19,149,882,2.5,0.5(BDL),26,0.23,40.0,3.1,,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.009,0.008,0.00059(BDL),0.807,0.595,2023
74,4539,DODDABIDARAKALLU LAKE,"E (Irrigation, industrial cooling and controlled waste)",24.0,2.4,6.7,2191,17.0,12.0,2300,24000,,3(BDL),508,18.4,5(BDL),508.0,268.0,116,1.9,996,504,492,92,340,1492,0.5,0.5(BDL),32,0.2(BDL),41.0,4.7,1.1,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.038,0.067,0.018,0.663,0.711,2023
75,3606,DASARAHALLI TANK,"E (Irrigation, industrial cooling and controlled waste)",25.0,2.6,6.7,602,18.0,1.5,4900,160000,,3(BDL),164,13.6,5(BDL),164.0,120.0,118,,176,92,84,19,48,410,0.5,0.5(BDL),31,0.2(BDL),33.0,1.57,1.32,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.005,0.006,0.00059(BDL),1.609,0.273,2023
76,4540,KAMMAGONDANAHALLI LAKE,"E (Irrigation, industrial cooling and controlled waste)",25.0,2.5,7.8,550,18.0,1.8,40000,540000,,3(BDL),180,12.0,5(BDL),180.0,72.0,120,2.2,168,88,35,17,55,378,0.5,0.5(BDL),32,0.2(BDL),40.0,1.85,1.4,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.019,0.012,0.00059(BDL),3.363,0.132,2023
77,5559,"Shettihalli Lake, Mallasandra Gudde Lake Bengaluru","D (Propagation of wild life,fisheries)",25.0,2.8,7.2,558,17.0,1.8,4800,35000,,3(BDL),184,14.3,5(BDL),184.0,72.0,116,2.4,176,92,84,17,53,386,0.5,0.5(BDL),32,0.2(BDL),,,1.3,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.009,0.008,0.00059(BDL),1.895,0.153,2023
78,4506,ABBIGERE LAKE,"D (Propagation of wild life,fisheries)",24.0,4.6,7.0,840,8.0,3.0,580,9200,,3(BDL),256,8.4,5(BDL),256.0,148.0,77,0.95,220,116,104,19,85,574,0.2(BDL),0.5(BDL),35,0.2(BDL),41.0,2.5,0.5,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.011,0.008,0.00059(BDL),2.104,1.161,2023
79,4095,CHIKKABANAVARA LAKE,"D (Propagation of wild life,fisheries)",25.0,4.7,6.8,785,8.0,3.0,330,16000,,3(BDL),216,5.4,5(BDL),216.0,156.0,72,0.83,196,104,92,18,84,544,0.2(BDL),0.5(BDL),35,0.22,43.0,18.0,0.4,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.005,0.00059(BDL),0.535,0.493,2023
80,3597,HESARAGHATTA LAKE,"D (Propagation of wild life,fisheries)",24.0,5.2,7.5,520,5.0,2.0,4000,54000,,3(BDL),116,7.3,5(BDL),116.0,40.0,44,0.4,160,80,80,28,34,354,0.2(BDL),0.5(BDL),3,0.2(BDL),31.0,1.5,0.05(BDL),0.00042(BDL),0.00035(BDL),0.00031(BDL),0.009,0.006,0.00059(BDL),1.292,0.232,2023
81,4541,ALUR LAKE,"D (Propagation of wild life,fisheries)",24.0,6.1,7.3,528,4.0,2.0,310,9200,,3(BDL),120,14.9,5(BDL),120.0,32.0,40,0.4,148,72,76,29,36,360,0.2(BDL),0.5(BDL),3,0.2(BDL),34.0,1.3,0.05(BDL),0.00042(BDL),0.00035(BDL),0.00031(BDL),0.008,0.006,0.00059(BDL),1.335,0.227,2023
82,4513,RAMAMMANA KERE,"D (Propagation of wild life,fisheries)",24.0,5.2,7.3,520,5.0,2.0,480,16000,,3(BDL),140,6.6,5(BDL),140.0,40.0,44,0.4,160,80,80,28,34,354,0.2(BDL),0.5(BDL),3,0.21,31.0,1.5,0.05(BDL),0.00042(BDL),0.00035(BDL),0.00031(BDL),0.019,0.009,0.00059(BDL),2.741,0.297,2023
83,4535,GUBBALAL LAKE,"D (Propagation of wild life,fisheries)",25.0,5.8,6.5,384,4.0,1.14,7000,54000,,3(BDL),100,1.24,5(BDL),100.0,28.0,40,0.46,96,52,44,11,16,260,0.43,0.5(BDL),1(BDL),0.2(BDL),25.0,1.5,1.32,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.009,0.00059(BDL),0.321,0.052,2023
84,3596,NAYANDANAHALLI TANK,"D (Propagation of wild life,fisheries)",26.0,5.2,7.9,872,6.0,4.0,4600,35000,,3(BDL),204,8.5,5(BDL),204.0,132.0,52,0.4,220,116,104,14,78,594,1.1,0.5(BDL),5,0.3,42.0,2.29,3.39,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.006,0.01,0.00059(BDL),0.916,0.023,2023
85,3633,SUBRAMANYAPURA TANK,"D (Propagation of wild life,fisheries)",27.0,4.3,7.3,620,8.0,3.0,2300,24000,,3(BDL),164,37.1,5(BDL),164.0,76.0,72,0.4,176,92,84,29,59,422,2.86,0.5(BDL),5,0.33,41.0,1.5,8.78,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.003,0.00059(BDL),0.956,0.149,2023
86,3640,UTTARAHALLI DORAIKERE,"E (Irrigation, industrial cooling and controlled waste)",27.0,1.2,7.3,321,15.0,1.29,22000,240000,,3(BDL),76,76.2,5(BDL),76.0,24.0,120,3.1,88,48,40,10,15,218,0.2(BDL),0.5(BDL),2,0.2(BDL),26.0,1.4,0.05(BDL),0.00042(BDL),0.00035(BDL),0.00031(BDL),0.01,0.009,0.00059(BDL),5.422,0.153,2023
87,4536,HOSAKEREHALLI LAKE,"D (Propagation of wild life,fisheries)",28.0,5.3,7.6,698,6.0,2.0,4900,160000,,3(BDL),196,36.9,5(BDL),,72.0,56,0.44,176,92,84,28,53,476,0.63,0.5(BDL),4,0.34,38.0,1.5,1.93,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.003,0.00059(BDL),0.406,0.118,2023
88,3634,DEVARAKERE TANK,"D (Propagation of wild life,fisheries)",27.0,5.8,6.5,376,5.0,1.1,5800,92000,,3(BDL),84,5.3,5(BDL),84.0,20.0,48,0.51,104,56,48,7,20,254,0.29,0.5(BDL),3,0.2(BDL),28.0,1.5,0.91,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.00067(BDL),0.075,2023
89,3641,DHOREKERE TANK,"E (Irrigation, industrial cooling and controlled waste)",25.0,1.8,7.0,427,14.0,1.31,7900,54000,,3(BDL),112,58.2,5(BDL),112.0,24.0,116,1.29,128,68,60,26,27,290,0.43,0.5(BDL),3,0.2(BDL),30.0,1.1,1.33,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.004,0.00059(BDL),1.357,0.127,2023
90,4531,RAYASANDRA LAKE,"E (Irrigation, industrial cooling and controlled waste)",25.0,0.4,7.0,1286,24.0,5.1,2100,54000,,3(BDL),392,14.4,5(BDL),392.0,184.0,157,1.4,392,200,192,27,152,878,2,0.5(BDL),36,0.3,43.0,3.3,4.5,0.00042(BDL),0.002,0.00031(BDL),0.015,0.059,0.067,3.291,0.194,2023
91,4530,KAMMASANDRA LAKE,"E (Irrigation, industrial cooling and controlled waste)",25.0,0.3(BDL),7.0,1952,67.0,7.6,220000,2400000,,3(BDL),700,29.6,5(BDL),700.0,332.0,223,20.6,532,272,260,27,219,1330,2.2,0.5(BDL),38,0.36,45.0,4.1,6,0.00042(BDL),0.017,0.00031(BDL),0.024,0.088,0.123,3.248,0.272,2023
92,4107,"MUGALUR, BENGALURU","E (Irrigation, industrial cooling and controlled waste)",22.0,2,7.2,1165,16.0,4.2,400000,3500000,,3(BDL),412,16.0,5(BDL),412.0,204.0,108,1.8,340,176,164,23,123,802,1.5,0.5(BDL),33,0.3,41.0,2.9,3.1,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.01,0.007,0.00059(BDL),3.288,0.185,2023
93,4532,CHANDAPURA LAKE,"E (Irrigation, industrial cooling and controlled waste)",25.0,3.5,7.3,1180,10.0,5.6,4300,92000,,3(BDL),340,12.8,5(BDL),340.0,156.0,92,1.1,464,236,228,21,162,810,1.2,0.5(BDL),30,0.4,41.0,3.3,2.9,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.012,0.03,0.009,0.082,0.245,2023
94,4527,SHEELAVANTA-WHITEFIELD LAKE,"D (Propagation of wild life,fisheries)",21.0,5.4,7.6,614,6.0,2.0,5800,92000,,3(BDL),76,7.2,5(BDL),76.0,116.0,56,0.4,92,52,40,16,62,422,0.2(BDL),0.5(BDL),22,0.22,53.0,3.0,0.36,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.01,1.603,0.044,2023
95,4524,PATTANDUR AGRAHARA LAKE,"E (Irrigation, industrial cooling and controlled waste)",21.0,3.2,6.7,1572,16.0,5.0,4000,35000,,3(BDL),256,1.7,5(BDL),256.0,304.0,124,3.4,320,168,152,25,170,1058,0.63,0.5(BDL),30,0.38,51.0,4.0,2,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.104,0.065,2023
96,4523,NALLURAHALLI LAKE,"D (Propagation of wild life,fisheries)",24.0,5.7,6.8,616,5.0,2.0,2300,24000,,3(BDL),88,60.2,5(BDL),88.0,96.0,48,0.4,164,88,76,44,64,412,0.2(BDL),0.5(BDL),18,0.23,43.0,2.0,0.53,0.00042(BDL),0.008,0.00031(BDL),0.00056(BDL),0.009,0.02,6.683,0.124,2023
97,5560,"Hoodi (Rajapalya Lake) Itpl Main Road, Near Hoodi,Bengaluru","D (Propagation of wild life,fisheries)",24.0,5,6.7,1562,7.0,5.0,460,9200,,3(BDL),248,1.1,5(BDL),248.0,312.0,88,0.4,324,168,156,33,165,1052,0.58,0.5(BDL),22,0.22,50.0,4.0,2,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.065,0.061,2023
98,4525,SEETHARAMPALYA LAKE,"D (Propagation of wild life,fisheries)",23.5,6.1,7.4,489,4.0,1.0,4900,160000,,3(BDL),104,7.3,5(BDL),104.0,68.0,40,0.4,104,60,44,17,74,334,0.46,0.5(BDL),20,0.22,55.0,3.0,1,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.011,0.414,0.02,2023
99,4514,SADARAMANGALA LAKE,"D (Propagation of wild life,fisheries)",25.0,6,6.5,774,4.0,3.0,430,9200,,3(BDL),172,4.7,5(BDL),172.0,108.0,40,0.4,160,88,72,24,76,524,0.47,0.5(BDL),27,0.2(BDL),46.0,3.0,1.2,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.021,0.64,0.079,2023
100,4518,GARUDACHARPALYA TANK,"D (Propagation of wild life,fisheries)",24.5,5.7,6.5,750,5.0,3.0,3300,54000,,3(BDL),192,8.7,5(BDL),192.0,104.0,44,0.4,196,104,92,14,78,508,0.88,0.5(BDL),24,0.2(BDL),43.0,2.0,3,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.004,0.495,0.209,2023
101,3610,TUBARAHALLI TANK,"D (Propagation of wild life,fisheries)",25.2,5.4,7.2,575,6.0,2.0,5800,92000,,3(BDL),84,28.4,5(BDL),84.0,88.0,72,0.4,124,58,56,20,63,388,0.21,0.5(BDL),16,0.25,49.0,2.0,0.53,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),1.679,0.042,2023
102,4503,MADHURE TANK,"D (Propagation of wild life,fisheries)",26.0,4.6,6.5,300,10.0,0.62,4300,54000,,3(BDL),68,7.4,5(BDL),68.0,32.0,91,0.86,108,60,48,57,25,240,0.2(BDL),0.5(BDL),15,0.2(BDL),30.0,1.3,0.7,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.004,0.364,0.061,2023
103,4516,KUNDALAHALLI LAKE,"D (Propagation of wild life,fisheries)",25.0,4.9,7.8,1256,8.0,5.0,7000,160000,,3(BDL),232,6.8,5(BDL),232.0,276.0,84,0.91,312,160,152,21,107,866,0.41,0.5(BDL),15,0.2(BDL),41.0,3.0,0.98,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.081,0.103,2023
104,4520,CHINNAPPANAHALLI LAKE,"D (Propagation of wild life,fisheries)",25.0,6,7.7,614,5.0,2.0,3300,24000,,3(BDL),120,6.4,5(BDL),120.0,76.0,48,0.49,116,64,52,15,61,416,0.2(BDL),0.5(BDL),10,0.31,51.0,2.0,0.29,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.309,0.09,2023
105,5561,"Munekolalu Lake ,Marathahalli, East Taluka ,Bengaluru","D (Propagation of wild life,fisheries)",25.0,4.5,7.4,567,6.0,2.0,4000,35000,,3(BDL),112,12.5,5(BDL),112.0,80.0,60,0.4,100,56,44,5(BDL),52,390,0.2(BDL),0.5(BDL),11,0.22,50.0,2.0,0.05(BDL),0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.133,0.045,2023
106,5562,"Mahadevpura  Lake, K. R. Puram , Bangalore East Taluka","D (Propagation of wild life,fisheries)",25.0,4.4,8.2,580,8.0,2.0,2100,54000,,3(BDL),112,27.9,5(BDL),112.0,96.0,96,0.46,104,60,44,11,58,392,0.49,0.5(BDL),14,0.2(BDL),51.0,2.0,1,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.002,0.434,0.018,2023
107,3608,VARTHUR LAKE,"E (Irrigation, industrial cooling and controlled waste)",25.0,0.3(BDL),6.9,1303,30.0,5.0,700000,5400000,,3(BDL),420,20.1,5(BDL),420.0,164.0,212,21.56,416,212,204,20,125,886,2,0.5(BDL),15,0.37,38.0,2.67,7,0.00042(BDL),0.012,0.00031(BDL),0.009,0.007,0.033,4.87,0.276,2023
108,3632,VEERAPURA TANK,"D (Propagation of wild life,fisheries)",27.0,4.4,7.1,520,10.0,1.7,3300,35000,,3(BDL),120,8.6,5(BDL),120.0,72.0,93,0.94,176,92,84,63,53,350,0.6,0.5(BDL),18,0.3,37.0,1.2,1.4,0.00042(BDL),0.018,0.00031(BDL),0.01,0.012,0.013,2.22,0.102,2023
109,4522,VIBHUTHIPURA LAKE,"D (Propagation of wild life,fisheries)",25.0,4.6,6.6,624,8.0,3.0,4900,54000,,3(BDL),144,39.6,5(BDL),144.0,84.0,84,0.62,116,64,52,39,54,424,0.33,0.5(BDL),4,0.24,48.0,2.18,1.01,0.00042(BDL),0.01,0.00031(BDL),0.00056(BDL),0.00054(BDL),0.034,0.812,0.074,2023
110,5565,Kannur Lake,"D (Propagation of wild life,fisheries)",20.0,4.2,6.7,381,4.0,1.46,700,9200,,3(BDL),84,4.0,5(BDL),84.0,60.0,45,0.54,100,56,44,16,33,266,0.2(BDL),0.5(BDL),8,1.6,39.0,1.43,0.05(BDL),0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.164,0.057,2023
111,3594,SankeyTank,"D (Propagation of wild life,fisheries)",27.0,5.1,7.7,562,4.0,2.0,49,1600,,3(BDL),132,4.2,5(BDL),132.0,72.0,44,0.48,140,76,64,28,51,386,0.15,0.5(BDL),8,0.3,42.0,2.0,0.35,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.003,0.00059(BDL),0.03,0.059,2023
112,4096,Andrahalli Lake,"E (Irrigation, industrial cooling and controlled waste)",27.0,0.5(BDL),6.7,1185,39.0,5.0,46000,350000,,3(BDL),228,21.2,5(BDL),228.0,252.0,200,14.3,248,128,120,23,96,816,2,0.5(BDL),35,0.41,42.0,3.0,5,0.00042(BDL),0.004,0.009,0.045,0.016,0.019,8.355,0.617,2023
113,3598,Herohalli Lake,"D (Propagation of wild life,fisheries)",25.0,6,7.0,423,5.0,2.0,4700,92000,,3(BDL),92,44.3,5(BDL),92.0,48.0,48,0.48,140,76,64,12,37,290,0.4,0.5(BDL),12,0.2(BDL),22.0,1.0,0.92,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.012,0.008,0.00059(BDL),2.189,0.292,2023
114,4512,Vishwaneedam dam Lake,"D (Propagation of wild life,fisheries)",23.0,6.1,6.8,470,4.0,2.0,340,16000,,3(BDL),104,5.7,5(BDL),104.0,36.0,44,0.49,168,88,80,16,26,324,0.2(BDL),0.5(BDL),10,0.2(BDL),24.0,0.87,0.59,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.00054(BDL),0.00059(BDL),0.00067(BDL),0.00043(BDL),2023
115,5558,Kannahalli Lake,"D (Propagation of wild life,fisheries)",25.0,4.8,7.0,1387,9.0,6.0,580,9200,,3(BDL),320,3.7,5(BDL),320.0,224.0,88,0.65,388,200,188,25,92,956,0.56,0.5(BDL),31,0.22,32.0,2.0,1.42,0.00042(BDL),0.00035(BDL),0.00031(BDL),0.00056(BDL),0.006,0.079,0.572,0.00043(BDL),2023
